Ratings,AuthorLocation,Title,Author,ReviewID,Content,Date,class,predicted_class
3.0,"Boston, Massachusetts",“Overall Good Value”,SunshineIsMyFriend,UR64541180,"just return from a two night stay at thi hotel  thi wa an anniversari getaway for my spous and i  we stay in the presidenti suit which ha a veri larg jacuzzi tub in the bedroom  when we tri to use it there wa no hot water and the water pressur wa terribl  we made 2 call to mainten and after reset the boiler   we got hot water  breakfast is includ each morn for all guest  it wa adequ  although i would have like to have more than 2 fruit option (mayb banana  berri  or other season fruit) and mayb some bran muffin  i had waffl one morn (good thing i brought my own syrup  becaus they onli offer imit artifici mapl syrup) and the other morn i had scrambl egg  sausag  & shred potato  all room are access from the outsid (motel style  face park area) and there are two floor  unfortun  between the thin wall and have been given a room on the ground floor   we did not experi much quiet nor did we get much sleep  there wa a famili with children stay abov us and the nois they creat at all hour of the night wa complet disrupt  it realli is a shame becaus the bed and pillow were super comfort and we could have had a great night sleep on both night  i highli recommend that guest request a room on the second floor and away from the stairwel   if you'r look to minim the exposur to nois  the person who check us in knew that we were look for a nice quiet getaway and she should have known better than to put us in a room on the first floor by the stairwel  last but not least  i wa unabl to connect to their wifi   veri confus becaus i take my laptop everywher and i never have problem connect to wifi  would i stay here again  mayb  i realli prefer quiet hotel and i'm unsur if i can be confid that a motel style properti can offer a ""quiet"" getaway ","May 18, 2010",negative,positive
5.0,Seattle,“One of the best places I've ever stayed”,Jefe52,UR58379389,had the opportun to stay in phoenix for two day on busi  the room   a studio with king bed   wa top notch  it look like it had recent bed upgrad  bed wa veri comfort  as were the larg pillow  wifi work well  the floor in front of the sink is heat  and both regfriger and microwav were avail  lcd big screen tv  the ground were quiet and veri clean front desk staff is except  as are the peopl mind the complementari breakfast and happi hour area  the other employe we met dure our stay were extrem courteou and friendli  i will definit stay here my next trip to phoenix and have no problem recommend thi to a friend ,"March 12, 2010",positive,positive
5.0,"Morden, Manitoba",“2nd Visit - Always my first choice”,Lori_Pratt,UR53937907,thi is my second time to thi hotel  i came exactli 1 year ago as well  just a realli class act  hot tub and whirlpool are not busi and i like my even soak with the kid breakfast is includ and serv everi morn   alway awesome! the front desk peopl have an amaz attitud   well done thi year they even upgrad my suit at no cost and without ask   mayb they notic i have book in for all 5 day and want to say thank you   i don't know  i would rate and recommend thi place 100%,"January 20, 2010",positive,positive
3.0,"San Francisco, California",“Okay hotel. 4th stay”,Bo94114,UR51307660,stay here again for 2 night in a king on the first floor face the pool  check in wa fine  room had kind of a smoki smell even though it wa non smoke  the 2nd day it wa more pronounc after the deodor or what ever they use wore off  bed wa comfort  i could not get the aircon/fan to work even though i use their instruct on the bedsid tabl  temperatur wa not bad so i did not complain  toilet would run occasion  fridg are turn off at check in so plan accordingli if you bring perish at check in  i could not get the wire internet to work but i could get in with the wireless but you would have to log back in everi so often  there is nois and light that come in under the door  they are not veri gener with the towel  2 bath  2 hand  and 2 wash cloth  if i had an extra towel i would have put it at the base of the door  the breakfast is still the same and there is plenti of it  if they are have a meet on site the breakfast room get halv so seat can be scarc  all in all thi hotel is a great valu so we will return ,"December 15, 2009",negative,positive
4.0,kent uk,“A WELCOME PLACE TO LAY YOUR HEAD”,nannyliv,UR49047115,stay here on our first night after arri from heathrow  we had a two bed suit  it wa clean and comfort and not at all tire look like ha been suggest in other review  nice hot water and love comfi bed  we found the breakfast satisfi and adequ  i would advis anybodi travel around america to use thi hotel chain  they are good valu for money and a comfi place to lay your head after a day travel ,"November 12, 2009",positive,positive
5.0,kent,“GREAT”,decaugnanny,UR49001622,great hotel  clean with lot of hot water and a bed you could stay in for a week,"November 11, 2009",positive,positive
4.0,"London, England",“Great value hotel”,Welshquin,UR48815091,"stay for just one night have flown in to phoenix from london  our room wa a littl ""tired"" but it wa veri comfort and clean  the hot breakfast didn't look appetis so opt for just toast  juic and coffe  which wa fine  overal  a great valu hotel and i would certainli stay there again ","November 9, 2009",positive,positive
4.0,"Spokane, WA",“Wonderful Hotel”,calkatt,UR48211512,we were in phoenix for a medic procedur and thi hotel wa recommend by our doctor' offic  what a great surpris when we drove in   a beauti hotel that look like a mini resort  great pool area  laundri  hot tub and super comfi bed and pillow in quiet and comfort room with all amenti  best of all  a friendli and accomod staff and a delici hot breakfast   highli recommend thi hotel  it' locat is excel and we felt right at home  kathi in spokan  wa,"October 31, 2009",positive,positive
5.0,new buffalo michigan,“The Best Service”,obrieninn,UR32419446,i am stay at thi hotel right now on a busi trip  i work in the hotel industri so i kind of know how much work goe into deliv guest servic  thi hotel not onli provid wonder facil  they have veri hard work and friendli employe  it realli make a differ  happi hour offer between 5 7 is also a plus! it is the off season in phoenix so rate are veri reason  although i would stay if i had to pay more  the pool is veri nice and the bed are the most comfort of ani hotel i have stay in  thank you!,"June 15, 2009",positive,positive
4.0,"Hamden, Connecticut",“A standout value”,thewildboo,UR29336006,"we stay at thi hotel for one night  we had reserv (paid for my family) at a much more expens restaur downtown for the remaind of our trip and want someth afford for our first night in town so we chose the best western base on the review here  we were veri pleas with our stay and in fact wish we could have stay there after a disappoint stay at the ""fancy"" hotel that cost 4x as much! the properti wa well maintain and locat close to the highway  our room wa as request ( a king bed on the second floor) and clean  the facil includ park  a pool  hot tub  fit center  busi center with four (!) comput and a printer  and a hot and cold breakfast buffet  all wa includ in the unbeliev low price of our night' stay  i definit recommend thi hotel!","May 4, 2009",positive,positive
4.0,Ohio,“Very nice for this class of hotel!”,Mommy3k,UR27831458,"thi wa my first trip to phoenix and first stay at a best western  i usual stay at hilton brand (e g   hampton or homewood)  i travel a lot for busi  but never thi far from home with short notic and no choic of where to stay! the hotel wa realli nice! the room are spaciou and have been updat recent  i had a regular king ""inn suite"" which is a king room with a mini fridg  microwav  and coffe maker  the vaniti and tub/toilet area are separ  which would be nice if travel with famili  the bed wa extrem comfort  and i'm hard to pleas in that depart becaus i sleep on a ""sleep number"" bed at home  the room wa alway clean impecc and i never notic ani disrepair with anyth in or outsid my room  had onli a littl staff interact becaus of long work hour  but they all seem nice  the free breakfast had hot and cold item and includ a waffl maker  we did not get to experi it  but they do have a nightli food/drink recept also  internet connect wa good (wireless or cord)  i had a room face the pool  which look nice (mayb a bit smallish)  and had a hot tub too  i didn't get to use these  so can't say ani more  there wa a lot of nois from the front door area with peopl use the pool and my room wa next to the stair  if nois bother you  ask for a room in the back  other than that  the room are realli well sound proof  i hardli ever heard anyth from abov or the room besid me (like through the walls/ceiling)  the hotel wa full due to the basketbal tournament  but you never would have known  locat wa ok from what i could tell  it wa about a 15 minut ride from the airport in no traffic to about a 25 minut ride in morn rush hour to the airport  the closest restaur is a 2 minut drive/15 minut walk up the road  there are store and ga station just a bit further (not walk distanc  but mayb 5 minut by car  at most)  i would definit stay there again  no worries!","April 12, 2009",positive,positive
4.0,"sacramento, california",“Great Stay”,jfish94,UR27307998,i wa here for busi for a coupl of night  i realli enjoy thi hotel and it' staff  the locat wa perfect for me  the room were clean and comfort  i will stay here again ,"April 2, 2009",positive,positive
